data_base,a_vencer_ate_90_dias,a_vencer_de_91_ate_360_dias,a_vencer_de_361_ate_1080_dias,a_vencer_de_1081_ate_1800_dias,a_vencer_de_1801_ate_5400_dias,a_vencer_acima_de_5400_dias,vencido_acima_de_15_dias,carteira_ativa,carteira_inadimplida_arrastada,ativo_problematico
2012-06-30,406190258337.22,504507042532.37994,581996505022.0302,240860629548.7201,240158934854.7801,31463488800.309998,53917811977.840004,2059094671073.2805,63914507231.14998,123724241799.51997
2012-12-31,417762223509.63,571743464895.04,650878059695.1902,263285891378.42007,280029702873.28,40035015031.450005,55111098527.17002,2278845455910.18,65458431941.32001,135536049619.74002
2012-07-31,398744049243.49994,514222756567.7902,595255838810.39,259982001951.85004,256157395416.51996,32865884843.96,55848227266.890015,2113076154100.9,65137480549.56999,126921113996.26
2012-11-30,411432444611.9899,562448664314.45,638430790092.3898,261004227695.75,265219190814.28998,37467369418.03001,54827229652.96001,2230829916599.8594,65101596823.90002,134327979830.14998
2012-10-31,411405382836.0099,551050209514.97,631836182454.5898,253331158368.94003,258954017169.67,36332724472.10001,55218473082.84001,2198128147899.1199,65742436840.250015,133479438260.57004
2012-09-30,407159615806.79016,524019675136.45013,602489062245.71,249205386983.3999,255211846502.21994,33488480749.459995,54624507897.710014,2126198575321.7397,63943091663.93,130032070413.29
2012-08-31,400434447548.44995,520767354896.1401,603282723303.55,269066023072.0299,260094152165.81998,33650049558.58001,56223478081.46001,2143518228626.03,65844952289.01999,129422069676.45999
2013-11-30,444763057284.4199,600277914725.7802,683837107323.5101,281684320540.61005,356515327621.7701,84350806582.49,56755822051.94,2508184356130.52,62919216657.949974,144866336174.27997
2013-05-31,436841937268.7601,565607894391.64,689817385164.2899,279204871403.11993,315146368538.69995,49825474517.6,57413962301.420006,2393857893585.53,67261917750.979996,140533549791.23
2013-04-30,432606784833.6001,556044643488.41,677942784947.5499,283098789214.06006,301385704341.0201,46865091844.109985,58523165093.21999,2356466963761.969,66484711782.6,138362506137.97998
2013-10-31,439969657679.87994,604447139298.4801,704551619633.7601,283069688152.9999,350145802321.5301,81855543771.40001,58277879576.57,2522317330434.6196,63798063707.36999,143650364654.62997
2013-06-30,431261717468.8801,564661981933.0701,677224549442.07,278308630242.25006,326432347867.85004,50514731195.569984,56736987186.75,2385140945336.4404,64658848051.18,138975427599.68997
2013-12-31,461687545795.4301,632800694226.8,720728969348.97,289405494981.77,375433845115.1799,88773394028.99998,58011675619.88001,2626841619117.0303,61991127256.55999,149775662783.46
2013-07-31,432539459789.92993,577365801591.34,710969056555.74,285414023176.07,334207658898.99994,52909083389.03999,57533849058.23,2450938932459.3506,64527221312.38,142479768480.51
2013-03-31,431757304668.5,542959860572.7702,648123673210.28,265135225145.48004,290223378109.93,45613677650.67,59283908528.88999,2283097027886.52,66128174240.15,136940738012.40002
2013-02-28,418834693349.58997,559686658972.4502,657986093798.3202,274747597786.63,286312691431.65,44547295123.61,57893322032.05999,2300008352494.3096,66815767451.76,137389737898.92003
2013-01-31,416275593027.47003,562280156515.98,653944315801.07,265192449802.6,285292638060.3,44809189371.05998,57472390939.31001,2285266733517.79,65902586957.46,137175851983.28998
2013-09-30,443412996767.74005,595512152173.6201,710806818625.44,294770861420.8701,343040102693.2999,56072919642.29999,57259785276.72001,2500875636599.9897,63621914646.56001,142886653946.56003
2013-08-31,436254098294.92,585510473599.9099,713638271946.5801,290295473070.85004,341982150181.94995,55184941883.81999,56914629671.49,2479780038649.52,63484134784.70999,142018713039.22
2014-01-31,464337131097.2199,631524100578.36,718743085825.9701,296500766756.92004,381923480964.7199,91568964628.40001,59345720679.41,2643943250530.9995,62208046692.79,151637402721.87994
2014-03-31,479224973316.88,636619844747.21,727866104442.24,297576077383.63,393535909192.95,97221937520.14,54340484422.25,2686385331025.3,63655454616.09001,149869028089.49
2014-02-28,465449897469.3099,636149058285.72,721745089089.1599,300666653872.31995,387039964881.6499,93797011831.82002,59783212568.259995,2664630887998.2407,63097416770.600006,148319492957.33002
2014-06-30,496333399088.1499,646794133416.8999,748189573398.0001,319991427026.02,403723443802.15,105272885703.44998,56489900975.96999,2776794763410.6406,66119517721.35,153255900160.92993
2014-12-31,508548891744.9698,696720838204.64,789109514738.7399,345653860907.8901,448925976349.2599,120962202209.60999,59847297832.87,2969768581987.9805,66977619413.43999,160868956631.53
2014-07-31,488296417348.6798,649093694115.7701,749158270114.81,322136878813.46,409082237284.13983,108242105547.24,57647574346.85999,2783657177570.9604,67059748114.399994,155580716143.32996
2014-11-30,502614041936.91,680447443545.7303,769099211317.7401,338255174678.84,444085118914.2,116739641622.86002,59246232488.320015,2910486864504.6,69237110019.74002,160344947978.14996
2014-05-31,496671241637.9701,632393889492.75,747110887001.0099,307319378974.57996,402690245249.6301,102898875482.70999,56996177073.19,2746080694911.8413,67478218473.78999,153485036243.41
2014-04-30,487983459535.2699,629797058228.9999,730871450215.49,310433155529.02,401267590543.2099,100723284169.59998,55978125368.36,2717054123589.9507,64777562384.08001,151123610731.88998
2014-10-31,490724463948.31,674700916015.6699,766141393201.7402,333644002755.0399,434069763748.48,114122690954.68999,58683811016.19002,2872087041640.12,70288933435.51999,160104595949.35
2014-09-30,496608199240.8,661909617761.8201,756787413845.7601,334602230239.7801,424279004903.9701,111707558865.01997,58361155652.130005,2844255180509.28,68680981796.54,157553477511.96
2014-08-31,490174495593.55994,660778595210.7999,758553620929.5402,322687741042.5899,412797083892.66,108034489580.55002,59504843639.80998,2812530869889.5107,69465112404.14,158189549684.42
2015-03-31,507610890599.71,688510252888.6198,782785782266.0299,354287695040.06006,470849101233.14,127993066698.65001,65325608235.34,2997362396961.5503,71405722425.72,165784999871.06003
2015-02-28,490564374442.66,693277715773.3999,780305057251.36,353099730988.25,458705377625.4298,124653657133.15999,63729074605.90999,2964334987820.1704,71793510069.03,166502149461.83
2015-01-31,490044964432.0401,693173689183.27,788531309102.1901,349683835684.81,452120847555.23004,122770447272.92001,61942830612.17,2958267923842.63,69623760961.35999,162782791047.78006
2015-11-30,500883745192.39026,709329009324.8901,777972337194.46,390996811774.8399,504476825246.7501,148635570108.36005,76578117328.38998,3108872416170.079,88401438151.19002,192605807075.01004
2015-05-31,516250568029.2201,675558741478.26,780999713294.1201,368060025527.01996,478141732777.1299,132785400824.80998,67535018677.729996,3019331200608.29,76666436659.84999,173635657478.44998
