cnae_secao,Entrada,Nascimento,Reentrada,Saída de atividade,Sobrevivente,Total de empresas ativas,data_base,carteira_ativa,ativo_problematico,Seção CNAE e ano,Saída de atividade/Total
Indústrias extrativas,2105.0,1393.0,712.0,1545.0,9105.0,11210.0,2013,29848826300.86,268027526.9,Indústrias extrativas (2013),0.13782337198929528
Indústrias de transformação,64665.0,46261.0,18404.0,55564.0,381766.0,446431.0,2013,422462823269.6,16259804605.92,Indústrias de transformação (2013),0.1244626829230049
Eletricidade e gás,494.0,319.0,175.0,436.0,1786.0,2280.0,2013,109311064384.08,1517338427.5,Eletricidade e gás (2013),0.1912280701754386
"Água, esgoto, atividades de gestão de resíduos e descontaminação",2172.0,1602.0,570.0,1464.0,8430.0,10602.0,2013,11926372799.75,136820756.78,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2013)",0.1380871533672892
Construção,64632.0,49875.0,14757.0,38376.0,180589.0,245221.0,2013,106047096539.21,5840216823.4,Construção (2013),0.15649556930279218
Comércio; reparação de veículos automotores e motocicletas,364701.0,251508.0,113193.0,328753.0,1834886.0,2199587.0,2013,292791574604.04,16860508243.85,Comércio; reparação de veículos automotores e motocicletas (2013),0.1494612397691021
"Transporte, armazenagem e correio",48103.0,36110.0,11993.0,34092.0,189040.0,237143.0,2013,137293554167.51,5599563461.7,"Transporte, armazenagem e correio (2013)",0.1437613591799041
Alojamento e alimentação,58786.0,44139.0,14647.0,48148.0,267851.0,326637.0,2013,14104883168.79,1275155575.35,Alojamento e alimentação (2013),0.1474052235356068
Informação e comunicação,31069.0,20251.0,10818.0,26848.0,119590.0,150659.0,2013,31942147711.93,615579217.64,Informação e comunicação (2013),0.17820375815583536
"Atividades financeiras, de seguros e serviços relacionados",16683.0,11895.0,4788.0,12087.0,61942.0,78625.0,2013,56230962259.5,971235952.45,"Atividades financeiras, de seguros e serviços relacionados (2013)",0.15372972972972973
Atividades imobiliárias,16562.0,12305.0,4257.0,7955.0,51495.0,68057.0,2013,18077988071.23,563187321.32,Atividades imobiliárias (2013),0.11688731504474191
"Atividades profissionais, científicas e técnicas",53578.0,37293.0,16285.0,37504.0,208872.0,262450.0,2013,19559459867.73,1234516050.8,"Atividades profissionais, científicas e técnicas (2013)",0.142899599923795
Atividades administrativas e serviços complementares,62553.0,46228.0,16325.0,43828.0,226897.0,289450.0,2013,46303092561.55,3570912779.09,Atividades administrativas e serviços complementares (2013),0.15141820694420452
"Administração pública, defesa e seguridade social",80.0,57.0,23.0,93.0,271.0,351.0,2013,71742919281.28,79888216.61999999,"Administração pública, defesa e seguridade social (2013)",0.26495726495726496
Educação,17369.0,13090.0,4279.0,11226.0,79146.0,96515.0,2013,8293255609.99,474581489.07,Educação (2013),0.11631352639486091
Saúde humana e serviços sociais,24767.0,18710.0,6057.0,13832.0,121617.0,146384.0,2013,16091099891.98,435573114.52,Saúde humana e serviços sociais (2013),0.0944912012241775
"Artes, cultura, esporte e recreação",12386.0,9081.0,3305.0,8067.0,39009.0,51395.0,2013,4242834974.02,222130763.88,"Artes, cultura, esporte e recreação (2013)",0.156960793851542
Outras atividades de serviços,24251.0,16910.0,7341.0,20479.0,94654.0,118905.0,2013,4758050287.38,663284679.75,Outras atividades de serviços (2013),0.17222993145788654
Organismos internacionais e outras instituições extraterritoriais,1.0,1.0,,1.0,2.0,3.0,2013,427301.4,3095.17,Organismos internacionais e outras instituições extraterritoriais (2013),0.3333333333333333
Indústrias extrativas,1471.0,1004.0,467.0,2058.0,9138.0,10609.0,2014,33982172733.63,459062787.97,Indústrias extrativas (2014),0.19398623809972665
Indústrias de transformação,53350.0,40178.0,13172.0,72205.0,374935.0,428285.0,2014,443247332758.9,19492957355.07,Indústrias de transformação (2014),0.16859100832389648
Eletricidade e gás,553.0,409.0,144.0,512.0,1751.0,2304.0,2014,126293885233.12,199127013.38,Eletricidade e gás (2014),0.2222222222222222
"Água, esgoto, atividades de gestão de resíduos e descontaminação",1758.0,1354.0,404.0,2065.0,8602.0,10360.0,2014,13821013134.35,191558132.03,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2014)",0.19932432432432431
Construção,54496.0,43120.0,11376.0,57470.0,189702.0,244198.0,2014,114087959905.53,7167423138.69,Construção (2014),0.23534181279125954
Comércio; reparação de veículos automotores e motocicletas,289266.0,215329.0,73937.0,437670.0,1755419.0,2044685.0,2014,303000302824.77,19253393504.59,Comércio; reparação de veículos automotores e motocicletas (2014),0.21405253131900512
"Transporte, armazenagem e correio",42821.0,33590.0,9231.0,45648.0,193125.0,235946.0,2014,154753908019.99,5218349198.23,"Transporte, armazenagem e correio (2014)",0.19346799691454825
Alojamento e alimentação,51676.0,41593.0,10083.0,63496.0,263733.0,315409.0,2014,15606049261.99,1494954828.91,Alojamento e alimentação (2014),0.2013132155391888
Informação e comunicação,27173.0,18792.0,8381.0,35210.0,115579.0,142752.0,2014,34756025780.62,719255827.15,Informação e comunicação (2014),0.24665153553015018
"Atividades financeiras, de seguros e serviços relacionados",14759.0,11033.0,3726.0,16758.0,61675.0,76434.0,2014,69513695427.45,2932912539.95,"Atividades financeiras, de seguros e serviços relacionados (2014)",0.21924797864824555
Atividades imobiliárias,15052.0,11673.0,3379.0,13051.0,56062.0,71114.0,2014,23173958007.9,552453929.93,Atividades imobiliárias (2014),0.18352223190932868
"Atividades profissionais, científicas e técnicas",46698.0,34502.0,12196.0,52845.0,209983.0,256681.0,2014,22090681226.48,1580288118.94,"Atividades profissionais, científicas e técnicas (2014)",0.20587811330016637
Atividades administrativas e serviços complementares,53952.0,41500.0,12452.0,60591.0,229231.0,283183.0,2014,53220200884.66,3792195538.35,Atividades administrativas e serviços complementares (2014),0.21396411507752938
"Administração pública, defesa e seguridade social",58.0,40.0,18.0,104.0,187.0,245.0,2014,100058567289.01,118434432.54,"Administração pública, defesa e seguridade social (2014)",0.42448979591836733
Educação,15050.0,11938.0,3112.0,15462.0,81478.0,96528.0,2014,8863475791.46,515197310.1,Educação (2014),0.16018150174042764
Saúde humana e serviços sociais,23012.0,18329.0,4683.0,20111.0,126326.0,149338.0,2014,17424602528.3,594738218.4399999,Saúde humana e serviços sociais (2014),0.13466766663541765
"Artes, cultura, esporte e recreação",10162.0,7934.0,2228.0,12055.0,39247.0,49409.0,2014,4563543034.48,265364886.95,"Artes, cultura, esporte e recreação (2014)",0.24398388957477382
Outras atividades de serviços,19197.0,14588.0,4609.0,29890.0,88442.0,107639.0,2014,23393253159.73,676347477.08,Outras atividades de serviços (2014),0.27768745529036876
Organismos internacionais e outras instituições extraterritoriais,2.0,1.0,1.0,1.0,,2.0,2014,211456.7,1944.48,Organismos internacionais e outras instituições extraterritoriais (2014),0.5
Indústrias extrativas,1510.0,947.0,563.0,1623.0,8962.0,10472.0,2015,43230977430.61,470422326.2,Indústrias extrativas (2015),0.15498472116119175
Indústrias de transformação,48290.0,33001.0,15289.0,55949.0,373567.0,421857.0,2015,461719554773.16,24854801623.62,Indústrias de transformação (2015),0.13262551054030158
Eletricidade e gás,567.0,370.0,197.0,344.0,1983.0,2550.0,2015,142504371823.72,1972148539.79,Eletricidade e gás (2015),0.1349019607843137
"Água, esgoto, atividades de gestão de resíduos e descontaminação",1753.0,1203.0,550.0,1551.0,8824.0,10577.0,2015,16752431672.210001,369217313.67,"Água, esgoto, atividades de gestão de resíduos e descontaminação (2015)",0.14663893353502883
Construção,50242.0,35575.0,14667.0,48507.0,196124.0,246366.0,2015,109192406376.96,10130832856.95,Construção (2015),0.19688999293733714
Comércio; reparação de veículos automotores e motocicletas,276058.0,182319.0,93739.0,311479.0,1728677.0,2004735.0,2015,300581770121.0,26773665883.72,Comércio; reparação de veículos automotores e motocicletas (2015),0.15537165760063051
"Transporte, armazenagem e correio",36967.0,25770.0,11197.0,38131.0,198454.0,235421.0,2015,168184581321.48,11698137147.39,"Transporte, armazenagem e correio (2015)",0.16196940799673776
Alojamento e alimentação,48878.0,36951.0,11927.0,47879.0,268121.0,316999.0,2015,16098420721.039999,2086001329.29,Alojamento e alimentação (2015),0.151038331351203
Informação e comunicação,25161.0,15543.0,9618.0,29047.0,112792.0,137953.0,2015,30507113697.83,881944729.49,Informação e comunicação (2015),0.210557218762912
"Atividades financeiras, de seguros e serviços relacionados",17419.0,11906.0,5513.0,12901.0,63614.0,81033.0,2015,77657686973.44,4015767147.8700004,"Atividades financeiras, de seguros e serviços relacionados (2015)",0.15920674293189194
Atividades imobiliárias,17457.0,12232.0,5225.0,11485.0,60797.0,78254.0,2015,23886244008.69,911913022.46,Atividades imobiliárias (2015),0.14676566054131418
"Atividades profissionais, científicas e técnicas",52775.0,36278.0,16497.0,43266.0,214561.0,267336.0,2015,19428316989.9,2137958518.64,"Atividades profissionais, científicas e técnicas (2015)",0.161841278391238
Atividades administrativas e serviços complementares,52355.0,36406.0,15949.0,49746.0,233801.0,286156.0,2015,57996653027.84,3741739163.29,Atividades administrativas e serviços complementares (2015),0.17384223989711906
"Administração pública, defesa e seguridade social",41.0,23.0,18.0,42.0,200.0,241.0,2015,123497180874.65,179558238.5,"Administração pública, defesa e seguridade social (2015)",0.17427385892116182
Educação,15100.0,10985.0,4115.0,12721.0,84154.0,99254.0,2015,9392671065.35,651221247.56,Educação (2015),0.12816611924960203
Saúde humana e serviços sociais,29409.0,22231.0,7178.0,16088.0,133449.0,162858.0,2015,18194867013.73,716721533.47,Saúde humana e serviços sociais (2015),0.09878544498888603
"Artes, cultura, esporte e recreação",10281.0,7069.0,3212.0,8909.0,40538.0,50819.0,2015,4450014756.48,416305687.98,"Artes, cultura, esporte e recreação (2015)",0.17530844762785572
Outras atividades de serviços,18434.0,12526.0,5908.0,18816.0,88077.0,106511.0,2015,28697988293.91,758517232.3,Outras atividades de serviços (2015),0.17665780999145628
Organismos internacionais e outras instituições extraterritoriais,1.0,1.0,,,2.0,3.0,2015,447226.4,1255.01,Organismos internacionais e outras instituições extraterritoriais (2015),
