,data_base,ocupacao,modalidade,carteira_ativa,carteira_ativa_deflacionada
0,2012-06-30,Aposentado/pensionista,Cartão de crédito,5933957010.53,11039550033.133377
29,2012-06-30,Empresário,Empréstimo com consignação em folha,4235027373.02,7878856637.009562
30,2012-06-30,Empresário,Empréstimo sem consignação em folha,13318019580.23,24776880458.907692
31,2012-06-30,Empresário,Habitacional,29584965124.42,55039950936.61278
32,2012-06-30,Empresário,Outros créditos,18021301551.04,33526879244.634266
33,2012-06-30,Empresário,Rural e agroindustrial,41210059997.42,76667309588.29659
34,2012-06-30,Empresário,Veículos,26183053452.56,48711025054.07684
35,2012-06-30,MEI,Cartão de crédito,7481.57,13918.733518767565
36,2012-06-30,MEI,Empréstimo com consignação em folha,47908.59,89129.27333031603
37,2012-06-30,MEI,Empréstimo sem consignação em folha,8245.71,15340.341688046345
38,2012-06-30,MEI,Outros créditos,18870.75,35107.195488284284
39,2012-06-30,MEI,Veículos,38306.69,71265.8720156382
28,2012-06-30,Empresário,Cartão de crédito,13889667937.96,25840376644.55923
40,2012-06-30,Outros,Cartão de crédito,38185370292.44,71040168496.17606
42,2012-06-30,Outros,Empréstimo sem consignação em folha,31121303715.39,57898159500.09749
43,2012-06-30,Outros,Habitacional,72748719793.43001,135341919495.00488
44,2012-06-30,Outros,Outros créditos,26962594754.63,50161285848.319954
45,2012-06-30,Outros,Rural e agroindustrial,39931934640.19,74289481638.96725
46,2012-06-30,Outros,Veículos,104773419265.28,194920758958.82016
47,2012-06-30,Servidor ou empregado público,Cartão de crédito,13757305018.26,25594128302.691105
48,2012-06-30,Servidor ou empregado público,Empréstimo com consignação em folha,56109305794.96,104385907674.87158
49,2012-06-30,Servidor ou empregado público,Empréstimo sem consignação em folha,13826593011.41,25723031876.767807
50,2012-06-30,Servidor ou empregado público,Habitacional,36545192529.8,67988777250.54251
51,2012-06-30,Servidor ou empregado público,Outros créditos,7395046754.14,13757765432.883968
52,2012-06-30,Servidor ou empregado público,Rural e agroindustrial,2724402725.19,5068486364.456091
41,2012-06-30,Outros,Empréstimo com consignação em folha,64890151839.94,120721817940.9522
27,2012-06-30,Empregado de entidades sem fins lucrativos,Veículos,193691284.93,360343802.1495956
53,2012-06-30,Servidor ou empregado público,Veículos,23457466009.64,43640334637.47945
25,2012-06-30,Empregado de entidades sem fins lucrativos,Outros créditos,76448900.42,142225745.76576546
26,2012-06-30,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,81333328.75,151312749.7391011
1,2012-06-30,Aposentado/pensionista,Empréstimo com consignação em folha,24804561973.4,46146475693.9399
2,2012-06-30,Aposentado/pensionista,Empréstimo sem consignação em folha,7618285416.58,14173079257.868359
3,2012-06-30,Aposentado/pensionista,Habitacional,3792468702.9,7055519263.193579
4,2012-06-30,Aposentado/pensionista,Outros créditos,3353517456.06,6238893149.624271
5,2012-06-30,Aposentado/pensionista,Rural e agroindustrial,1952635674.1200001,3632688808.273577
6,2012-06-30,Aposentado/pensionista,Veículos,8544770784.83,15896715199.216095
8,2012-06-30,Autônomo,Empréstimo com consignação em folha,3053160956.09,5680109086.424683
9,2012-06-30,Autônomo,Empréstimo sem consignação em folha,7054086837.47,13123442660.964314
10,2012-06-30,Autônomo,Habitacional,16494547644.1,30686502053.826035
11,2012-06-30,Autônomo,Outros créditos,8485789841.25,15786986888.664234
12,2012-06-30,Autônomo,Rural e agroindustrial,16458661996.36,30619740295.52645
7,2012-06-30,Autônomo,Cartão de crédito,7386387575.31,13741655872.641115
14,2012-06-30,Empregado de empresa privada,Cartão de crédito,14097313442.09,26226680914.69981
15,2012-06-30,Empregado de empresa privada,Empréstimo com consignação em folha,10509793196.039999,19552448327.42823
16,2012-06-30,Empregado de empresa privada,Empréstimo sem consignação em folha,10290849214.68,19145124339.002293
17,2012-06-30,Empregado de empresa privada,Habitacional,51462782862.450005,95741503560.96915
