,data,valor,data_divida,porte,valor_deflacionado
0,2012-06,0.08,2012-06,Acima de 20 salários mínimos,452869064573.0126
1,2012-06,0.08,2012-06,Até 1 salário mínimo,58480064344.51903
2,2012-06,0.08,2012-06,Indisponível,7274014793.461304
3,2012-06,0.08,2012-06,Mais de 1 a 2 salários mínimos,55971345425.876236
4,2012-06,0.08,2012-06,Mais de 10 a 20 salários mínimos,81350124418.06808
5,2012-06,0.08,2012-06,Mais de 2 a 3 salários mínimos,44435996132.831055
6,2012-06,0.08,2012-06,Mais de 3 a 5 salários mínimos,76693247813.98376
7,2012-06,0.08,2012-06,Mais de 5 a 10 salários mínimos,107524429466.9355
8,2012-06,0.08,2012-06,Sem rendimento,130589846130.18768
9,2012-07,0.43,2012-07,Acima de 20 salários mínimos,193430322683.3997
10,2012-07,0.43,2012-07,Até 1 salário mínimo,78961426108.4391
11,2012-07,0.43,2012-07,Indisponível,6523011087.101156
12,2012-07,0.43,2012-07,Mais de 1 a 2 salários mínimos,93510925494.23267
13,2012-07,0.43,2012-07,Mais de 10 a 20 salários mínimos,151495291143.46005
14,2012-07,0.43,2012-07,Mais de 2 a 3 salários mínimos,101869328344.49762
15,2012-07,0.43,2012-07,Mais de 3 a 5 salários mínimos,149905009524.7319
16,2012-07,0.43,2012-07,Mais de 5 a 10 salários mínimos,185141656652.14383
17,2012-07,0.43,2012-07,Sem rendimento,82026925358.94597
18,2012-08,0.41,2012-08,Acima de 20 salários mínimos,203693133425.22653
19,2012-08,0.41,2012-08,Até 1 salário mínimo,66290188362.12315
20,2012-08,0.41,2012-08,Indisponível,5742051436.075229
21,2012-08,0.41,2012-08,Mais de 1 a 2 salários mínimos,97772047074.0688
22,2012-08,0.41,2012-08,Mais de 10 a 20 salários mínimos,155597686337.78687
23,2012-08,0.41,2012-08,Mais de 2 a 3 salários mínimos,105570894432.9942
24,2012-08,0.41,2012-08,Mais de 3 a 5 salários mínimos,154331125690.52985
25,2012-08,0.41,2012-08,Mais de 5 a 10 salários mínimos,190578356071.04852
