,data_base,porte,modalidade,longo_prazo,numero_de_operacoes,longo_prazo_deflacionado
0,2012-06-30,Acima de 20 salários mínimos,Cartão de crédito,68441657.13,22367277.0,128003839.51013292
33,2012-06-30,Mais de 1 a 2 salários mínimos,Veículos,12555714504.61,1900438.0,23482477365.070583
34,2012-06-30,Mais de 2 a 3 salários mínimos,Cartão de crédito,32886730.34,14952995.0,61506806.36587297
35,2012-06-30,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,7364648877.86,3204616.0,13773823904.051226
36,2012-06-30,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,1923682933.75,2661352.0,3597791342.959505
37,2012-06-30,Mais de 2 a 3 salários mínimos,Habitacional,568541186.97,9195.0,1063321051.8789256
38,2012-06-30,Mais de 2 a 3 salários mínimos,Outros créditos,931153522.11,2226156.0,1741501170.508895
39,2012-06-30,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,2424913919.88,288777.0,4535224675.180317
40,2012-06-30,Mais de 2 a 3 salários mínimos,Veículos,9664805634.94,1668988.0,18075719982.081158
41,2012-06-30,Mais de 3 a 5 salários mínimos,Cartão de crédito,47690251.96,17800804.0,89193272.25655155
42,2012-06-30,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,13027067191.38,3911062.0,24364030445.46101
43,2012-06-30,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,3654101060.41,3365504.0,6834126835.972012
44,2012-06-30,Mais de 3 a 5 salários mínimos,Habitacional,1715794002.54,25795.0,3208984547.4724665
45,2012-06-30,Mais de 3 a 5 salários mínimos,Outros créditos,1250749073.35,2461115.0,2339228627.215164
32,2012-06-30,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,2431496168.96,351190.0,4547535206.371162
46,2012-06-30,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,4160881777.28,425508.0,7781939619.43285
48,2012-06-30,Mais de 5 a 10 salários mínimos,Cartão de crédito,74685435.45,19916651.0,139681341.65611476
49,2012-06-30,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,15865529238.09,2831323.0,29672698521.57938
50,2012-06-30,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,6570481427.56,3298982.0,12288522596.117033
51,2012-06-30,Mais de 5 a 10 salários mínimos,Habitacional,5901237101.37,64604.0,11036860276.48652
52,2012-06-30,Mais de 5 a 10 salários mínimos,Outros créditos,1974399846.56,2299225.0,3692645264.387059
53,2012-06-30,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,6086579801.56,403685.0,11383499709.901064
54,2012-06-30,Mais de 5 a 10 salários mínimos,Veículos,19157770301.8,1944020.0,35830052309.01542
55,2012-06-30,Sem rendimento,Cartão de crédito,261483671.48000002,25162772.0,489043008.6324569
56,2012-06-30,Sem rendimento,Empréstimo com consignação em folha,16433271509.99,5747838.0,30734525392.857037
