,ano,cnae_secao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
7,2012,"Administração pública, defesa e seguridade social",ACRE,830018.0,546.5181667464811,0.0006584413431353069
8,2012,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830018.0,1209412.1588070148,1.4570914833256807
9,2012,Alojamento e alimentação,ACRE,830018.0,7183778.63766133,8.65496728704839
10,2012,"Artes, cultura, esporte e recreação",ACRE,830018.0,890417.9899553725,1.0727694941017816
11,2012,Atividades administrativas e serviços complementares,ACRE,830018.0,3991531.141961525,4.808969374111797
12,2012,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830018.0,270021.6864926125,0.32532027798507085
13,2012,Atividades imobiliárias,ACRE,830018.0,94138.37714589582,0.11341727184940065
14,2012,"Atividades profissionais, científicas e técnicas",ACRE,830018.0,939590.5687580096,1.13201228016502
15,2012,Comércio; reparação de veículos automotores e motocicletas,ACRE,830018.0,60076574.52381323,72.37984540553727
16,2012,Construção,ACRE,830018.0,37399812.064959385,45.05903735215307
17,2012,Educação,ACRE,830018.0,814064.1352638135,0.9807788930647451
18,2012,Eletricidade e gás,ACRE,830018.0,0.0,0.0
19,2012,Indústrias de transformação,ACRE,830018.0,23681519.360801417,28.53133228532564
20,2012,Indústrias extrativas,ACRE,830018.0,152589.05903946553,0.18383825295290648
21,2012,Informação e comunicação,ACRE,830018.0,565790.1361668817,0.6816600798619808
22,2012,Outras atividades de serviços,ACRE,830018.0,740562.1874697465,0.8922242499195758
23,2012,Saúde humana e serviços sociais,ACRE,830018.0,3537618.883695064,4.262098995076087
24,2012,"Transporte, armazenagem e correio",ACRE,830018.0,1858649.4544678926,2.239288129254899
25,2012,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830018.0,838366.0575662582,1.010057682563822
33,2013,"Administração pública, defesa e seguridade social",ACRE,830018.0,0.0,0.0
34,2013,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830018.0,995655.4168110957,1.1995588250027056
35,2013,Alojamento e alimentação,ACRE,830018.0,7071822.7783189,8.52008363471503
36,2013,"Artes, cultura, esporte e recreação",ACRE,830018.0,1132966.1633399676,1.3649898717135864
37,2013,Atividades administrativas e serviços complementares,ACRE,830018.0,4544930.527422844,5.475701162411953
38,2013,"Atividades financeiras, de seguros e serviços relacionados",ACRE,830018.0,162098.3490225013,0.19529498037693313
39,2013,Atividades imobiliárias,ACRE,830018.0,91923.6638359621,0.11074900042645111
40,2013,"Atividades profissionais, científicas e técnicas",ACRE,830018.0,1981078.8902629034,2.3867902747445275
41,2013,Comércio; reparação de veículos automotores e motocicletas,ACRE,830018.0,80837309.9043193,97.3922371615065
42,2013,Construção,ACRE,830018.0,22862984.584961526,27.545167195122907
43,2013,Educação,ACRE,830018.0,1262144.0146932928,1.5206224620349111
44,2013,Eletricidade e gás,ACRE,830018.0,0.0,0.0
45,2013,Indústrias de transformação,ACRE,830018.0,35885796.17124923,43.23496137583671
46,2013,Indústrias extrativas,ACRE,830018.0,613860.8186329341,0.7395753087679232
47,2013,Informação e comunicação,ACRE,830018.0,2215138.0024149334,2.6687830895413516
48,2013,Outras atividades de serviços,ACRE,830018.0,775172.6895247414,0.9339227456811073
49,2013,Saúde humana e serviços sociais,ACRE,830018.0,1915841.2634495597,2.308192428898602
50,2013,"Transporte, armazenagem e correio",ACRE,830018.0,10794068.46289369,13.00461973462466
51,2013,"Água, esgoto, atividades de gestão de resíduos e descontaminação",ACRE,830018.0,551019.197813161,0.663864154528168
59,2014,"Administração pública, defesa e seguridade social",ACRE,830018.0,0.0,0.0
60,2014,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",ACRE,830018.0,967503.9910774522,1.1656421801424213
61,2014,Alojamento e alimentação,ACRE,830018.0,9884238.458543032,11.908462778569902
