,data,valor,modalidade,longo_prazo_deflacionado
0,2012-06,2.31,Cartão de crédito,1161927174.4938993
1,2012-06,2.31,Empréstimo com consignação em folha,205517695427.61044
2,2012-06,2.31,Empréstimo sem consignação em folha,71900503146.798
3,2012-06,2.31,Habitacional,345440434109.2732
4,2012-06,2.31,Outros créditos,44776825226.79244
5,2012-06,2.31,Rural e agroindustrial,101013797349.5436
6,2012-06,2.31,Veículos,218812733585.87354
7,2012-07,2.26,Cartão de crédito,1899340537.4221241
8,2012-07,2.26,Empréstimo com consignação em folha,219531588864.56592
9,2012-07,2.26,Empréstimo sem consignação em folha,72869239339.75658
10,2012-07,2.26,Habitacional,355402708658.58417
11,2012-07,2.26,Outros créditos,47334411849.04208
12,2012-07,2.26,Rural e agroindustrial,101530925347.02678
13,2012-07,2.26,Veículos,217007278770.6201
14,2012-08,2.20,Cartão de crédito,1952137627.6016958
15,2012-08,2.20,Empréstimo com consignação em folha,222632951341.6555
16,2012-08,2.20,Empréstimo sem consignação em folha,73392504094.82704
17,2012-08,2.20,Habitacional,365662022860.44965
18,2012-08,2.20,Outros créditos,48986100154.434525
19,2012-08,2.20,Rural e agroindustrial,105017726639.3343
20,2012-08,2.20,Veículos,217356885921.5296
21,2012-09,2.20,Cartão de crédito,2144684440.4765835
22,2012-09,2.20,Empréstimo com consignação em folha,213434805133.88876
23,2012-09,2.20,Empréstimo sem consignação em folha,72958045384.8077
24,2012-09,2.20,Habitacional,368806210588.6179
25,2012-09,2.20,Outros créditos,48482648762.49768
26,2012-09,2.20,Rural e agroindustrial,104696003188.2603
27,2012-09,2.20,Veículos,212521398582.35855
28,2012-10,2.15,Cartão de crédito,2165184562.407205
29,2012-10,2.15,Empréstimo com consignação em folha,214758202151.01224
30,2012-10,2.15,Empréstimo sem consignação em folha,70715391451.07364
31,2012-10,2.15,Habitacional,377322699562.81244
32,2012-10,2.15,Outros créditos,51810452892.98573
33,2012-10,2.15,Rural e agroindustrial,104876726814.22804
34,2012-10,2.15,Veículos,210207023892.982
35,2012-11,2.11,Cartão de crédito,2200991038.035001
36,2012-11,2.11,Empréstimo com consignação em folha,216716515961.47092
37,2012-11,2.11,Empréstimo sem consignação em folha,70722171809.75801
38,2012-11,2.11,Habitacional,384156036340.1857
39,2012-11,2.11,Outros créditos,53278452512.89719
40,2012-11,2.11,Rural e agroindustrial,107269677777.7865
41,2012-11,2.11,Veículos,208015268298.10715
42,2012-12,2.03,Cartão de crédito,2221006278.6760426
43,2012-12,2.03,Empréstimo com consignação em folha,215181412045.7537
44,2012-12,2.03,Empréstimo sem consignação em folha,70790635313.61716
45,2012-12,2.03,Habitacional,392422139327.6711
46,2012-12,2.03,Outros créditos,54304315900.04811
47,2012-12,2.03,Rural e agroindustrial,111075444536.32156
48,2012-12,2.03,Veículos,205592324742.78168
49,2013-01,2.04,Cartão de crédito,2252301606.034723
50,2013-01,2.04,Empréstimo com consignação em folha,218008400379.0614
51,2013-01,2.04,Empréstimo sem consignação em folha,70396185950.9338
52,2013-01,2.04,Habitacional,398394339279.5525
53,2013-01,2.04,Outros créditos,55163714399.72464
54,2013-01,2.04,Rural e agroindustrial,111298442336.95615
55,2013-01,2.04,Veículos,202465644847.68573
56,2013-02,2.08,Cartão de crédito,2243498509.0476007
57,2013-02,2.08,Empréstimo com consignação em folha,219260699881.332
58,2013-02,2.08,Empréstimo sem consignação em folha,69804562148.25061
59,2013-02,2.08,Habitacional,402732082964.6367
60,2013-02,2.08,Outros créditos,55570500745.52998
61,2013-02,2.08,Rural e agroindustrial,112324726232.44678
62,2013-02,2.08,Veículos,198411589519.498
63,2013-03,2.04,Cartão de crédito,2249773647.2791514
64,2013-03,2.04,Empréstimo com consignação em folha,211336280584.45956
65,2013-03,2.04,Empréstimo sem consignação em folha,68167995596.59451
66,2013-03,2.04,Habitacional,411064341155.2815
67,2013-03,2.04,Outros créditos,53999972680.382385
68,2013-03,2.04,Rural e agroindustrial,115877754474.31487
69,2013-03,2.04,Veículos,191943045243.9628
70,2013-04,2.03,Cartão de crédito,2261663958.0200977
71,2013-04,2.03,Empréstimo com consignação em folha,225660624003.52908
72,2013-04,2.03,Empréstimo sem consignação em folha,69152572128.92264
73,2013-04,2.03,Habitacional,421550226698.83
74,2013-04,2.03,Outros créditos,56987727662.74496
75,2013-04,2.03,Rural e agroindustrial,120561106534.24266
76,2013-04,2.03,Veículos,192373690187.71704
77,2013-05,2.01,Cartão de crédito,2352419617.782937
78,2013-05,2.01,Empréstimo com consignação em folha,229344057630.45795
79,2013-05,2.01,Empréstimo sem consignação em folha,68695316765.44171
80,2013-05,2.01,Habitacional,433636491733.524
81,2013-05,2.01,Outros créditos,56597582901.55358
82,2013-05,2.01,Rural e agroindustrial,124654982082.02911
83,2013-05,2.01,Veículos,189198039036.24252
84,2013-06,2.02,Cartão de crédito,2727175041.8816047
85,2013-06,2.02,Empréstimo com consignação em folha,222544838907.3
86,2013-06,2.02,Empréstimo sem consignação em folha,67598030349.73214
87,2013-06,2.02,Habitacional,445203401611.71295
88,2013-06,2.02,Outros créditos,56163115185.00926
89,2013-06,2.02,Rural e agroindustrial,132431029069.24832
90,2013-06,2.02,Veículos,186766375992.5873
91,2013-07,2.05,Cartão de crédito,2473630241.759747
92,2013-07,2.05,Empréstimo com consignação em folha,234318057821.74792
93,2013-07,2.05,Empréstimo sem consignação em folha,68463912231.01525
94,2013-07,2.05,Habitacional,457079224795.2285
95,2013-07,2.05,Outros créditos,56002767798.7089
96,2013-07,2.05,Rural e agroindustrial,133505884944.11128
97,2013-07,2.05,Veículos,187141926336.21738
98,2013-08,2.06,Cartão de crédito,2589224057.6621847
99,2013-08,2.06,Empréstimo com consignação em folha,237314606014.7701
100,2013-08,2.06,Empréstimo sem consignação em folha,68771174659.32132
101,2013-08,2.06,Habitacional,469187931323.20966
102,2013-08,2.06,Outros créditos,56374056776.53326
103,2013-08,2.06,Rural e agroindustrial,134717820483.12389
104,2013-08,2.06,Veículos,184722363248.01846
105,2013-09,2.08,Cartão de crédito,2645589489.051656
106,2013-09,2.08,Empréstimo com consignação em folha,237232431866.14102
107,2013-09,2.08,Empréstimo sem consignação em folha,68431356784.85839
108,2013-09,2.08,Habitacional,475797144820.3247
109,2013-09,2.08,Outros créditos,57593917712.13931
110,2013-09,2.08,Rural e agroindustrial,134660038344.13321
111,2013-09,2.08,Veículos,182540431680.77618
112,2013-10,2.12,Cartão de crédito,2741196532.6614213
113,2013-10,2.12,Empréstimo com consignação em folha,240794543257.94247
114,2013-10,2.12,Empréstimo sem consignação em folha,68306007928.48232
115,2013-10,2.12,Habitacional,482478637746.1747
116,2013-10,2.12,Outros créditos,58924368517.46328
117,2013-10,2.12,Rural e agroindustrial,134207467460.19548
118,2013-10,2.12,Veículos,181073233789.9248
119,2013-11,2.13,Cartão de crédito,2818621227.4215875
120,2013-11,2.13,Empréstimo com consignação em folha,232569669103.92413
121,2013-11,2.13,Empréstimo sem consignação em folha,66804010705.37618
122,2013-11,2.13,Habitacional,491686804929.64777
123,2013-11,2.13,Outros créditos,59270815809.86378
124,2013-11,2.13,Rural e agroindustrial,135951212521.8452
125,2013-11,2.13,Veículos,177884685256.26343
