,ano,ocupacao,Estado,Valor,ativo_problematico_deflacionado,ativo_problematico/pop
0,2012,Aposentado/pensionista,ACRE,830018.0,21775491.61440458,26.234963114540385
1,2012,Autônomo,ACRE,830018.0,17033315.02194375,20.521621244290788
2,2012,Empregado de empresa privada,ACRE,830018.0,12907596.180627724,15.550983449307996
3,2012,Empregado de entidades sem fins lucrativos,ACRE,830018.0,41677.350240706524,0.05021258604115396
4,2012,Empresário,ACRE,830018.0,52180814.603544734,62.867087946941794
5,2012,Outros,ACRE,830018.0,193157310.85136804,232.71460480539946
6,2012,Servidor ou empregado público,ACRE,830018.0,134499925.67960152,162.04458900843298
26,2013,Aposentado/pensionista,ACRE,830018.0,21189676.4241694,25.529176986727276
27,2013,Autônomo,ACRE,830018.0,18578423.444740094,22.38315728663727
28,2013,Empregado de empresa privada,ACRE,830018.0,18006736.062436502,21.694392245031437
29,2013,Empregado de entidades sem fins lucrativos,ACRE,830018.0,224976.1820177046,0.2710497627975593
30,2013,Empresário,ACRE,830018.0,52691420.00380673,63.482261835052654
31,2013,Outros,ACRE,830018.0,255643103.49359658,307.9970596946049
32,2013,Servidor ou empregado público,ACRE,830018.0,134485617.5583433,162.0273506819651
52,2014,Aposentado/pensionista,ACRE,830018.0,15658148.665471368,18.86483023918923
53,2014,Autônomo,ACRE,830018.0,18500428.638426058,22.289189678327528
54,2014,Empregado de empresa privada,ACRE,830018.0,16886501.135592327,20.344740879827096
55,2014,Empregado de entidades sem fins lucrativos,ACRE,830018.0,141433.5301975945,0.17039814823003174
56,2014,Empresário,ACRE,830018.0,35734120.39767067,43.052223442950236
57,2014,Outros,ACRE,830018.0,238925792.76695317,287.85615826036684
58,2014,Servidor ou empregado público,ACRE,830018.0,115085826.0163781,138.6546147389311
78,2015,Aposentado/pensionista,ACRE,830018.0,12852855.369098589,15.485032094603477
79,2015,Autônomo,ACRE,830018.0,20163327.995709505,24.29263943156595
80,2015,Empregado de empresa privada,ACRE,830018.0,13812329.297704747,16.640999710493926
81,2015,Empregado de entidades sem fins lucrativos,ACRE,830018.0,164278.3473987034,0.1979214274855526
82,2015,Empresário,ACRE,830018.0,40264635.02058122,48.51055642236822
83,2015,Outros,ACRE,830018.0,263208700.69221818,317.1120393680838
84,2015,Servidor ou empregado público,ACRE,830018.0,109421974.0117611,131.83084464645478
103,2016,Aposentado/pensionista,ACRE,830018.0,18693793.258738954,22.52215404815191
104,2016,Autônomo,ACRE,830018.0,13288035.698770113,16.009334374399245
105,2016,Empregado de empresa privada,ACRE,830018.0,13733769.944636617,16.546351940122523
106,2016,Empregado de entidades sem fins lucrativos,ACRE,830018.0,1068895.691927236,1.2877982066982114
107,2016,Empresário,ACRE,830018.0,30698258.503225207,36.98505153288869
108,2016,MEI,ACRE,830018.0,829319.4927862957,0.9991584432943571
109,2016,Outros,ACRE,830018.0,190151327.3908243,229.09301652593592
110,2016,Servidor ou empregado público,ACRE,830018.0,120366251.7565001,145.0164354947725
129,2017,Aposentado/pensionista,ACRE,830018.0,26086996.417178158,31.429434563079546
130,2017,Autônomo,ACRE,830018.0,23626542.365016773,28.46509637744817
131,2017,Empregado de empresa privada,ACRE,830018.0,18662009.017951068,22.48386061260246
132,2017,Empregado de entidades sem fins lucrativos,ACRE,830018.0,104755.48566430053,0.12620869145524619
133,2017,Empresário,ACRE,830018.0,36177340.08546888,43.58621148633991
134,2017,MEI,ACRE,830018.0,1474970.382357686,1.7770342117371984
135,2017,Outros,ACRE,830018.0,90928493.44857636,109.55002596157718
136,2017,Servidor ou empregado público,ACRE,830018.0,118082647.53541869,142.26516477403948
156,2018,Aposentado/pensionista,ACRE,830018.0,26045670.980368618,31.379645959929324
157,2018,Autônomo,ACRE,830018.0,18451220.33940543,22.22990385679037
158,2018,Empregado de empresa privada,ACRE,830018.0,19191708.799036015,23.12203927991443
