,data,valor,data_divida,porte,valor_deflacionado
0,2012-06,0.08,2012-06,Acima de 20 salários mínimos,441018933797.02704
1,2012-06,0.08,2012-06,Até 1 salário mínimo,56949828643.999306
2,2012-06,0.08,2012-06,Indisponível,7083677158.784841
3,2012-06,0.08,2012-06,Mais de 1 a 2 salários mínimos,54506754852.373825
4,2012-06,0.08,2012-06,Mais de 10 a 20 salários mínimos,79221452604.49277
5,2012-06,0.08,2012-06,Mais de 2 a 3 salários mínimos,43273248649.004326
6,2012-06,0.08,2012-06,Mais de 3 a 5 salários mínimos,74686431523.52316
7,2012-06,0.08,2012-06,Mais de 5 a 10 salários mínimos,104710860048.15047
8,2012-06,0.08,2012-06,Sem rendimento,127172728743.02942
9,2012-07,0.43,2012-07,Acima de 20 salários mínimos,188368871594.88135
10,2012-07,0.43,2012-07,Até 1 salário mínimo,76895258867.52689
11,2012-07,0.43,2012-07,Indisponível,6352324810.465693
12,2012-07,0.43,2012-07,Mais de 1 a 2 salários mínimos,91064044524.04567
13,2012-07,0.43,2012-07,Mais de 10 a 20 salários mínimos,147531145317.5829
14,2012-07,0.43,2012-07,Mais de 2 a 3 salários mínimos,99203734782.5212
15,2012-07,0.43,2012-07,Mais de 3 a 5 salários mínimos,145982476267.75552
16,2012-07,0.43,2012-07,Mais de 5 a 10 salários mínimos,180297093366.5525
17,2012-07,0.43,2012-07,Sem rendimento,79880543835.68605
18,2012-08,0.41,2012-08,Acima de 20 salários mínimos,198363137499.06396
19,2012-08,0.41,2012-08,Até 1 salário mínimo,64555586768.18004
20,2012-08,0.41,2012-08,Indisponível,5591800368.464588
21,2012-08,0.41,2012-08,Mais de 1 a 2 salários mínimos,95213666220.30939
22,2012-08,0.41,2012-08,Mais de 10 a 20 salários mínimos,151526193988.70795
23,2012-08,0.41,2012-08,Mais de 2 a 3 salários mínimos,102808442759.79749
24,2012-08,0.41,2012-08,Mais de 3 a 5 salários mínimos,150292775170.91074
25,2012-08,0.41,2012-08,Mais de 5 a 10 salários mínimos,185591531800.67453
26,2012-08,0.41,2012-08,Sem rendimento,81057194063.72365
27,2012-09,0.57,2012-09,Acima de 20 salários mínimos,196642135744.6051
28,2012-09,0.57,2012-09,Até 1 salário mínimo,45701307790.395996
29,2012-09,0.57,2012-09,Indisponível,5303237943.195086
30,2012-09,0.57,2012-09,Mais de 1 a 2 salários mínimos,93010350485.034
31,2012-09,0.57,2012-09,Mais de 10 a 20 salários mínimos,152720167301.96625
32,2012-09,0.57,2012-09,Mais de 2 a 3 salários mínimos,113269389723.2981
33,2012-09,0.57,2012-09,Mais de 3 a 5 salários mínimos,157024086628.58582
34,2012-09,0.57,2012-09,Mais de 5 a 10 salários mínimos,188794079481.98734
35,2012-09,0.57,2012-09,Sem rendimento,70579040981.83983
36,2012-10,0.59,2012-10,Acima de 20 salários mínimos,192297599583.58286
37,2012-10,0.59,2012-10,Até 1 salário mínimo,47536803524.51755
38,2012-10,0.59,2012-10,Indisponível,4973139972.347578
39,2012-10,0.59,2012-10,Mais de 1 a 2 salários mínimos,96360306580.67802
40,2012-10,0.59,2012-10,Mais de 10 a 20 salários mínimos,157125091329.76468
41,2012-10,0.59,2012-10,Mais de 2 a 3 salários mínimos,115562367154.25034
42,2012-10,0.59,2012-10,Mais de 3 a 5 salários mínimos,157580922571.42554
43,2012-10,0.59,2012-10,Mais de 5 a 10 salários mínimos,192489624837.74786
44,2012-10,0.59,2012-10,Sem rendimento,67929825773.1868
45,2012-11,0.6,2012-11,Acima de 20 salários mínimos,185071209882.0317
46,2012-11,0.6,2012-11,Até 1 salário mínimo,47584444830.596725
47,2012-11,0.6,2012-11,Indisponível,4676720183.120586
48,2012-11,0.6,2012-11,Mais de 1 a 2 salários mínimos,98759378082.11649
49,2012-11,0.6,2012-11,Mais de 10 a 20 salários mínimos,160357423725.51596
50,2012-11,0.6,2012-11,Mais de 2 a 3 salários mínimos,117354553629.00702
51,2012-11,0.6,2012-11,Mais de 3 a 5 salários mínimos,161007827861.21582
52,2012-11,0.6,2012-11,Mais de 5 a 10 salários mínimos,197249292874.25522
53,2012-11,0.6,2012-11,Sem rendimento,70298262670.38094
54,2012-12,0.79,2012-12,Acima de 20 salários mínimos,188131329128.45535
55,2012-12,0.79,2012-12,Até 1 salário mínimo,49230013598.97259
56,2012-12,0.79,2012-12,Indisponível,4372838687.3103895
57,2012-12,0.79,2012-12,Mais de 1 a 2 salários mínimos,100986033816.94756
58,2012-12,0.79,2012-12,Mais de 10 a 20 salários mínimos,160667894457.6612
59,2012-12,0.79,2012-12,Mais de 2 a 3 salários mínimos,118192635031.50648
60,2012-12,0.79,2012-12,Mais de 3 a 5 salários mínimos,161829710342.75662
61,2012-12,0.79,2012-12,Mais de 5 a 10 salários mínimos,199089153516.4141
62,2012-12,0.79,2012-12,Sem rendimento,69087669564.845
63,2013-01,0.86,2013-01,Acima de 20 salários mínimos,188324379296.6802
64,2013-01,0.86,2013-01,Até 1 salário mínimo,52002339323.759026
65,2013-01,0.86,2013-01,Indisponível,3942744412.308131
66,2013-01,0.86,2013-01,Mais de 1 a 2 salários mínimos,106216265690.41837
67,2013-01,0.86,2013-01,Mais de 10 a 20 salários mínimos,160453060754.72635
68,2013-01,0.86,2013-01,Mais de 2 a 3 salários mínimos,120790461415.69312
69,2013-01,0.86,2013-01,Mais de 3 a 5 salários mínimos,161352893346.86542
70,2013-01,0.86,2013-01,Mais de 5 a 10 salários mínimos,198113095894.59747
71,2013-01,0.86,2013-01,Sem rendimento,66783788664.90086
72,2013-02,0.6,2013-02,Acima de 20 salários mínimos,186731688755.2762
73,2013-02,0.6,2013-02,Até 1 salário mínimo,54036823970.82385
74,2013-02,0.6,2013-02,Indisponível,3716483817.985315
75,2013-02,0.6,2013-02,Mais de 1 a 2 salários mínimos,107727728712.09448
76,2013-02,0.6,2013-02,Mais de 10 a 20 salários mínimos,159550116539.01886
77,2013-02,0.6,2013-02,Mais de 2 a 3 salários mínimos,122099697803.53793
78,2013-02,0.6,2013-02,Mais de 3 a 5 salários mínimos,162425253505.3688
79,2013-02,0.6,2013-02,Mais de 5 a 10 salários mínimos,197364216177.31744
80,2013-02,0.6,2013-02,Sem rendimento,66695650719.3188
81,2013-03,0.47,2013-03,Acima de 20 salários mínimos,208639156418.216
82,2013-03,0.47,2013-03,Até 1 salário mínimo,65344421199.22652
83,2013-03,0.47,2013-03,Indisponível,3455525148.6756396
84,2013-03,0.47,2013-03,Mais de 1 a 2 salários mínimos,87954065357.93481
85,2013-03,0.47,2013-03,Mais de 10 a 20 salários mínimos,170840352716.13028
86,2013-03,0.47,2013-03,Mais de 2 a 3 salários mínimos,109828284596.42017
87,2013-03,0.47,2013-03,Mais de 3 a 5 salários mínimos,158201616016.57794
88,2013-03,0.47,2013-03,Mais de 5 a 10 salários mínimos,199995945219.239
89,2013-03,0.47,2013-03,Sem rendimento,50379796709.85438
90,2013-04,0.55,2013-04,Acima de 20 salários mínimos,224244418076.8544
91,2013-04,0.55,2013-04,Até 1 salário mínimo,38871448547.503654
92,2013-04,0.55,2013-04,Indisponível,3248145747.02923
93,2013-04,0.55,2013-04,Mais de 1 a 2 salários mínimos,98528048087.43861
94,2013-04,0.55,2013-04,Mais de 10 a 20 salários mínimos,179635185789.58224
95,2013-04,0.55,2013-04,Mais de 2 a 3 salários mínimos,121112008511.4772
96,2013-04,0.55,2013-04,Mais de 3 a 5 salários mínimos,168135176925.04108
97,2013-04,0.55,2013-04,Mais de 5 a 10 salários mínimos,207948380434.91846
98,2013-04,0.55,2013-04,Sem rendimento,46824799054.16166
99,2013-05,0.37,2013-05,Acima de 20 salários mínimos,231003535572.0424
100,2013-05,0.37,2013-05,Até 1 salário mínimo,44450422519.099304
101,2013-05,0.37,2013-05,Indisponível,3032904113.114083
102,2013-05,0.37,2013-05,Mais de 1 a 2 salários mínimos,108464044914.43619
