,data_base,cnae_secao,cnae_subclasse,carteira_ativa,valor_deflacionado,perc,cumperc
73,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Cultivo de soja,13473296116.68,13556826280.817635,33.79966613540267,33.79966613540267
16,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Criação de bovinos para corte,3625061593.29,3647535825.8218355,9.093978972360391,42.89364510776306
44,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Cultivo de canaIndisponíveldeIndisponívelaçúcar,3020758833.99,3039486581.01183,7.578000155287108,50.47164526305016
2,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Atividades de apoio à agricultura não especificadas anteriormente,2695161261.95,2711870407.257759,6.761192661846407,57.23283792489657
0,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Indisponível,1982559149.06,1994850387.202427,4.973529621230364,62.206367546126934
90,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura","Produção de sementes certificadas, exceto de forrageiras para pasto",1380740915.28,1389301071.1829123,3.4637835873122675,65.6701511334392
8,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Atividades de pósIndisponívelcolheita,1341524271.74,1349841296.886826,3.3654030984456935,69.0355542318849
86,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Produção de ovos,1177071670.65,1184369141.8107083,2.952850523054793,71.9884047549397
95,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura","Serviço de preparação de terreno, cultivo e colheita",1163981355.72,1171197671.0785015,2.920011619314413,74.9084163742541
56,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Cultivo de laranja,767043428.33,771798854.3901293,1.9242367691163855,76.8326531433705
7,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Atividades de apoio à produção florestal,697861043.68,702187560.8899709,1.7506829866291045,78.5833361299996
59,2022-12,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",Cultivo de manga,677346561.51,681545895.4347512,1.6992195108558479,80.28255564085545
