,data_base,modalidade,porte,curto_prazo,curto_prazo_deflacionado
0,2012-12,Capital de giro,Microempresa,22548500608.78,40842763541.77877
1,2012-12,Capital de giro,Empresa de pequeno porte,33262395494.99,60249157032.90783
2,2012-12,Cheque especial e conta garantida,Microempresa,5704846485.01,10333356530.97414
3,2012-12,Cheque especial e conta garantida,Empresa de pequeno porte,9197790117.91,16660228252.446674
4,2012-12,Comércio exterior,Microempresa,4958360792.96,8981225001.844992
5,2012-12,Comércio exterior,Empresa de pequeno porte,2966916248.22,5374062820.262496
6,2012-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,7548305540.28,13672468235.10342
7,2012-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,13037475185.99,23615162952.159073
8,2012-12,Habitacional,Microempresa,1911622610.95,3462578360.9641504
9,2012-12,Habitacional,Empresa de pequeno porte,1798477823.75,3257635874.110054
10,2012-12,Investimento,Microempresa,6615005990.38,11981955260.800749
11,2012-12,Investimento,Empresa de pequeno porte,8050388711.63,14581906277.195211
12,2012-12,Operações com recebíveis,Microempresa,7194546858.56,13031694711.443256
13,2012-12,Operações com recebíveis,Empresa de pequeno porte,14119899102.97,25575789286.486855
14,2012-12,Outros créditos,Microempresa,4420329977.51,8006673932.801483
15,2012-12,Outros créditos,Empresa de pequeno porte,5092124488.79,9223515125.434486
16,2012-12,Rural e agroindustrial,Microempresa,3063624700.2,5549233688.837793
17,2012-12,Rural e agroindustrial,Empresa de pequeno porte,705486964.54,1277869325.9672792
0,2013-12,Capital de giro,Microempresa,21878738562.46,37466155604.47565
1,2013-12,Capital de giro,Empresa de pequeno porte,35310742784.29,60467735828.96519
2,2013-12,Cheque especial e conta garantida,Microempresa,4650965151.97,7964526089.894875
3,2013-12,Cheque especial e conta garantida,Empresa de pequeno porte,9154927727.56,15677318224.23337
4,2013-12,Comércio exterior,Microempresa,3414168335.74,5846578483.55979
5,2013-12,Comércio exterior,Empresa de pequeno porte,2891734067.99,4951938076.721317
6,2013-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,7764111857.1,13295621323.78969
7,2013-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,17478953741.51,29931762236.351402
8,2013-12,Habitacional,Microempresa,1888731980.94,3234351289.999192
9,2013-12,Habitacional,Empresa de pequeno porte,3442697520.71,5895433168.682674
10,2013-12,Investimento,Microempresa,4341259719.61,7434172299.742609
11,2013-12,Investimento,Empresa de pequeno porte,7687665352.44,13164710822.216064
12,2013-12,Operações com recebíveis,Microempresa,7403265737.56,12677691874.824387
13,2013-12,Operações com recebíveis,Empresa de pequeno porte,15065716688.52,25799224399.23199
14,2013-12,Outros créditos,Microempresa,4069043433.12,6968016642.797818
15,2013-12,Outros créditos,Empresa de pequeno porte,5728934716.64,9810490624.43676
16,2013-12,Rural e agroindustrial,Microempresa,10164097607.38,17405467022.24318
17,2013-12,Rural e agroindustrial,Empresa de pequeno porte,1079726129.66,1848972557.0134213
0,2014-12,Capital de giro,Microempresa,19922616816.46,32017558733.722115
1,2014-12,Capital de giro,Empresa de pequeno porte,38681842693.32,62165436487.1752
2,2014-12,Cheque especial e conta garantida,Microempresa,4182026822.06,6720918774.620057
3,2014-12,Cheque especial e conta garantida,Empresa de pequeno porte,9425998175.25,15148484407.463999
4,2014-12,Comércio exterior,Microempresa,3480864993.51,5594084371.576381
5,2014-12,Comércio exterior,Empresa de pequeno porte,2419095478.78,3887718781.517116
6,2014-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Microempresa,9317799381.23,14974598553.29292
7,2014-12,Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Empresa de pequeno porte,18885017309.8,30350036668.090645
8,2014-12,Habitacional,Microempresa,3603038717.29,5790429280.123327
9,2014-12,Habitacional,Empresa de pequeno porte,2338587018.15,3758333952.6801276
10,2014-12,Investimento,Microempresa,4423145140.12,7108419070.458909
